Period,Dim1,Value
2000,Female,69.5
2000,Male,64.6
2001,Female,69.8
2001,Male,64.9
2002,Female,70.0
2002,Male,65.2
2003,Female,70.2
2003,Male,65.5
2004,Female,70.5
2004,Male,65.8
2005,Female,70.9
2005,Male,66.2
2006,Female,71.4
2006,Male,66.6
2007,Female,71.8
2007,Male,66.9
2008,Female,72.1
2008,Male,67.3
2009,Female,72.5
2009,Male,67.6
2010,Female,72.7
2010,Male,68.0
2011,Female,73.1
2011,Male,68.4
2012,Female,73.5
2012,Male,68.6
2013,Female,73.8
2013,Male,69.0
2014,Female,74.0
2014,Male,69.1
2015,Female,74.1
2015,Male,69.3
2016,Female,74.4
2016,Male,69.5
2017,Female,74.6
2017,Male,69.8
2018,Female,74.9
2018,Male,70.0
2019,Female,75.0
2019,Male,70.2
2020,Female,74.7
2020,Male,69.5
2021,Female,73.8
2021,Male,68.9
